iter	Passed	Remaining
0	1	1001
1	1	926
2	2	861
3	3	853
4	4	814
5	4	788
6	5	767
7	6	750
8	6	744
9	7	735
10	8	733
11	8	734
12	9	737
13	10	737
14	11	735
15	11	732
16	12	728
17	13	722
18	13	718
19	14	712
20	15	714
21	16	714
22	16	717
23	17	716
24	18	719
25	19	714
26	19	709
27	20	706
28	21	708
29	21	705
30	22	703
31	23	702
32	24	705
33	24	706
34	25	706
35	26	705
36	27	704
37	27	706
38	28	703
39	29	700
40	29	697
41	30	694
42	31	692
43	31	690
44	32	688
45	33	689
46	33	687
47	34	684
48	35	682
49	35	681
50	36	682
51	37	680
52	37	678
53	38	676
54	39	673
55	39	671
56	40	669
57	41	668
58	41	668
59	42	668
60	43	668
61	44	667
62	44	667
63	45	666
64	46	666
65	47	665
66	47	663
67	48	663
68	49	662
69	49	663
70	50	661
71	51	660
72	51	659
73	52	658
74	53	656
75	53	656
76	54	654
77	55	653
78	56	653
79	56	652
80	57	652
81	58	651
82	58	650
83	59	649
84	60	647
85	60	646
86	61	646
87	62	645
88	62	643
89	63	640
90	63	639
91	64	637
92	65	636
93	65	634
94	66	633
95	67	632
96	67	630
97	68	629
98	69	628
99	69	627
100	70	625
101	70	624
102	71	624
103	72	622
104	72	620
105	73	619
106	74	618
107	74	616
108	75	615
109	75	614
110	76	613
111	77	612
112	77	611
113	78	610
114	79	608
115	79	608
116	80	607
117	81	606
118	81	604
119	82	603
120	82	602
121	83	601
122	84	600
123	84	600
124	85	599
125	86	598
126	86	597
127	87	596
128	88	595
129	89	595
130	89	594
131	90	593
132	90	592
133	91	591
134	92	590
135	92	589
136	93	588
137	94	588
138	94	587
139	95	584
140	95	584
141	96	582
142	97	582
143	97	581
144	98	580
145	99	581
146	100	580
147	100	579
148	101	579
149	102	578
150	102	577
151	103	576
152	104	577
153	104	576
154	105	576
155	106	575
156	107	574
157	107	574
158	108	574
159	109	573
160	109	572
161	110	571
162	111	571
163	111	570
164	112	569
165	113	569
166	114	568
167	114	568
168	115	567
169	116	567
170	116	566
171	117	566
172	118	565
173	119	564
174	119	564
175	120	564
176	121	563
177	121	562
178	122	561
179	123	560
180	123	559
181	124	559
182	125	558
183	125	557
184	126	557
185	127	556
186	127	556
187	128	555
188	129	555
189	130	555
190	130	554
191	131	553
192	132	552
193	132	551
194	133	551
195	134	550
196	134	549
197	135	548
198	136	547
199	136	547
200	137	545
201	137	544
202	138	544
203	139	543
204	139	542
205	140	542
206	141	541
207	142	540
208	142	540
209	143	539
210	144	538
211	144	538
212	145	537
213	146	537
214	146	536
215	147	535
216	148	535
217	149	534
218	149	533
219	150	533
220	151	532
221	151	532
222	152	531
223	153	531
224	154	530
225	154	530
226	155	529
227	156	529
228	157	528
229	157	528
230	158	528
231	159	527
232	159	526
233	160	525
234	161	524
235	161	524
236	162	523
237	163	522
238	163	522
239	164	521
240	165	520
241	166	520
242	166	519
243	167	518
244	168	518
245	168	517
246	169	516
247	170	517
248	171	516
249	171	515
250	172	515
251	173	515
252	174	514
253	174	513
254	175	512
255	175	511
256	176	510
257	177	510
258	178	509
259	178	508
260	179	508
261	180	507
262	180	507
263	181	506
264	182	505
265	183	505
266	183	504
267	185	506
268	186	505
269	186	505
270	187	504
271	188	503
272	189	503
273	189	502
274	190	501
275	191	501
276	191	500
277	192	500
278	193	499
279	193	498
280	194	498
281	195	497
282	196	497
283	196	496
284	197	495
285	198	495
286	199	495
287	200	494
288	200	494
289	201	493
290	202	492
291	202	491
292	203	491
293	204	490
294	204	489
295	205	489
296	206	488
297	207	487
298	207	487
299	208	486
300	209	486
301	209	485
302	210	485
303	211	484
304	212	483
305	213	483
306	213	482
307	214	482
308	215	481
309	216	481
310	216	480
311	217	479
312	218	479
313	219	478
314	219	477
315	220	477
316	221	476
317	222	476
318	222	475
319	223	474
320	224	474
321	225	473
322	225	473
323	226	472
324	227	472
325	228	471
326	228	470
327	229	469
328	230	469
329	230	468
330	231	467
331	232	466
332	232	466
333	233	465
334	233	464
335	234	463
336	235	463
337	236	462
338	236	461
339	237	461
340	238	460
341	238	459
342	239	458
343	240	458
344	241	457
345	241	456
346	242	456
347	243	455
348	243	454
349	244	454
350	245	453
351	245	452
352	246	451
353	247	451
354	248	450
355	248	449
356	249	449
357	250	448
358	250	447
359	251	446
360	252	446
361	252	445
362	253	445
363	254	444
364	255	443
365	255	443
366	256	442
367	257	441
368	258	441
369	258	440
370	259	439
371	260	438
372	260	438
373	261	437
374	262	437
375	262	436
376	263	435
377	264	434
378	264	434
379	265	433
380	266	432
381	267	432
382	267	431
383	268	430
384	269	429
385	269	429
386	270	428
387	271	427
388	271	427
389	272	426
390	273	425
391	273	424
392	274	424
393	275	423
394	276	422
395	276	422
396	277	421
397	278	420
398	278	419
399	279	419
400	280	418
401	280	417
402	281	417
403	282	416
404	282	415
405	283	414
406	284	413
407	284	413
408	285	412
409	286	411
410	286	411
411	287	410
412	288	409
413	289	409
414	289	408
415	290	407
416	291	407
417	291	406
418	292	405
419	293	404
420	293	404
421	294	403
422	295	402
423	295	402
424	296	401
425	297	400
426	297	399
427	298	399
428	299	398
429	300	397
430	300	397
431	301	396
432	302	395
433	302	394
434	303	394
435	304	393
436	304	392
437	305	391
438	306	391
439	306	390
440	307	389
441	308	388
442	308	388
443	309	387
444	310	386
445	310	385
446	311	385
447	312	384
448	312	383
449	313	382
450	314	382
451	314	381
452	315	380
453	316	380
454	316	379
455	317	378
456	318	378
457	318	377
458	319	376
459	320	375
460	320	375
461	321	374
462	322	373
463	322	372
464	323	372
465	323	371
466	324	370
467	325	369
468	325	369
469	326	368
470	327	367
471	327	366
472	328	366
473	329	365
474	329	364
475	330	363
476	331	363
477	332	362
478	332	362
479	333	361
480	334	360
481	335	360
482	335	359
483	336	358
484	337	358
485	337	357
486	338	356
487	339	356
488	340	355
489	340	354
490	341	354
491	342	353
492	343	352
493	343	352
494	344	351
495	345	350
496	346	350
497	346	349
498	347	348
499	348	348
500	348	347
501	349	346
502	349	345
503	350	344
504	351	344
505	351	343
506	352	342
507	353	341
508	353	341
509	354	340
510	355	339
511	355	338
512	356	338
513	357	337
514	357	336
515	358	336
516	359	335
517	359	334
518	360	333
519	361	333
520	361	332
521	362	332
522	363	331
523	363	330
524	364	329
525	365	329
526	366	328
527	366	327
528	367	327
529	368	326
530	368	325
531	369	324
532	370	324
533	371	324
534	372	323
535	372	322
536	373	321
537	373	321
538	374	320
539	375	319
540	375	318
541	376	318
542	377	317
543	377	316
544	378	316
545	379	315
546	380	314
547	380	314
548	381	313
549	382	312
550	382	311
551	383	311
552	384	310
553	384	309
554	385	309
555	386	308
556	387	307
557	387	307
558	388	306
559	388	305
560	389	304
561	390	303
562	390	303
563	391	302
564	392	301
565	392	301
566	393	300
567	394	299
568	394	299
569	395	298
570	396	297
571	396	296
572	397	296
573	398	295
574	398	294
575	399	294
576	400	293
577	400	292
578	401	291
579	402	291
580	402	290
581	403	289
582	404	289
583	404	288
584	405	287
585	406	286
586	406	286
587	407	285
588	408	284
589	409	284
590	409	283
591	410	282
592	411	282
593	411	281
594	412	280
595	413	280
596	414	279
597	414	278
598	415	278
599	416	277
600	416	276
601	417	276
602	418	275
603	418	274
604	419	274
605	420	273
606	421	272
607	421	271
608	422	271
609	423	270
610	423	269
611	424	269
612	425	268
613	426	267
614	426	267
615	427	266
616	428	265
617	428	265
618	429	264
619	430	263
620	430	262
621	431	262
622	432	261
623	432	260
624	433	260
625	434	259
626	434	258
627	435	257
628	436	257
629	436	256
630	437	255
631	438	255
632	439	254
633	439	253
634	440	253
635	441	252
636	441	251
637	442	251
638	443	250
639	444	249
640	444	249
641	445	248
642	445	247
643	446	246
644	447	246
645	448	245
646	448	244
647	449	244
648	449	243
649	450	242
650	451	241
651	452	241
652	452	240
653	453	239
654	454	239
655	454	238
656	455	237
657	456	237
658	457	236
659	457	235
660	458	235
661	459	234
662	459	233
663	460	233
664	461	232
665	461	231
666	462	231
667	463	230
668	464	229
669	464	229
670	465	228
671	466	227
