Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-3210.6963	36.21832	-3170.7341	-3267.657	-1787.4014	0.0	-1787.4014	-1787.4014	1000.0	1000.0	3999	-6.711387	4.382534	-0.0062448904	-31.25683	3.9656498	0.9849811	40.86789536476135
2	-3225.1921	10.269434	-3208.3433	-3233.5522	-1815.5804	0.00012207031	-1815.5806	-1815.5806	1000.0	1000.0	7999	-7.506348	6.0368147	6.55354	-37.467224	4.1903977	1.4503894	95.35791754722595
3	-2517.4377	647.49963	-1809.4032	-3169.7034	-1935.4763	0.0	-1935.4763	-1935.4763	1000.0	1000.0	11999	-4.41878	5.6825776	8.037901	-38.351433	1.467645	1.4792411	149.4244101047516
4	-1940.4521	13.848086	-1925.7252	-1960.5929	-1936.823	0.00012207031	-1936.8231	-1936.8231	1000.0	1000.0	15999	-14.383879	8.258259	7.7450156	-50.617794	12.381283	2.3456733	204.02336430549622
5	-1946.1628	34.604954	-1888.4797	-1977.7244	-1944.5885	0.00012207031	-1944.5886	-1944.5886	1000.0	1000.0	19999	-28.591103	8.607148	-3.1847086	-65.524284	27.037941	2.312638	260.0176725387573
6	-1966.5869	21.707823	-1936.1622	-1992.3365	-1843.7688	0.00024414062	-1843.7686	-1843.7686	1000.0	1000.0	23999	-42.66885	8.542726	-18.377663	-78.989555	41.253838	2.5770636	321.2144019603729
7	-1955.6079	28.857338	-1918.2332	-1998.7404	-1988.8572	0.00012207031	-1988.8573	-1988.8573	1000.0	1000.0	27999	-53.942413	9.100663	-28.231594	-90.10047	52.637924	2.6973183	384.02638697624207
8	-1946.2502	26.211035	-1919.9478	-1985.0388	-1930.7797	0.0	-1930.7797	-1930.7797	1000.0	1000.0	31999	-63.897453	9.617063	-33.67853	-101.17377	62.697334	2.738023	448.06859588623047
9	-1924.3873	28.074072	-1890.2274	-1968.1385	-1944.5549	0.0	-1944.5549	-1944.5549	1000.0	1000.0	35999	-72.1308	9.9477625	-43.073315	-109.4426	70.97451	2.8175528	515.1545112133026
10	-1937.7566	55.22036	-1860.7252	-2015.4592	-1897.2213	0.00012207031	-1897.2214	-1897.2214	1000.0	1000.0	39999	-79.14919	10.835494	-47.466118	-117.024376	78.03285	3.0326054	592.9812507629395
11	-1884.4602	8.486057	-1878.2913	-1899.0935	-1829.5853	0.0	-1829.5853	-1829.5853	1000.0	1000.0	43999	-85.03133	11.571677	-50.912773	-124.216736	83.99355	3.079184	682.3025829792023
12	-1873.5995	24.971886	-1849.2241	-1913.3668	-1875.5857	0.00012207031	-1875.5858	-1875.5858	1000.0	1000.0	47999	-90.1549	12.54478	-55.77007	-129.4305	89.13565	3.2824907	781.2523381710052
13	-1869.3293	15.166163	-1848.6526	-1891.497	-1812.5922	0.0	-1812.5922	-1812.5922	1000.0	1000.0	51999	-94.5613	13.250229	-56.85247	-135.13844	93.61613	3.2239268	859.4441602230072
14	-1828.8975	38.822037	-1785.5402	-1871.2711	-1837.5836	0.0	-1837.5836	-1837.5836	1000.0	1000.0	55999	-99.03307	13.974287	-60.63166	-140.68018	98.117836	3.1955707	933.4935123920441
