Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1735.6865	19.048119	-1718.711	-1767.5803	1000.0	0.01736084	0.048643276	0.1930339	-0.14313884	4000	6.7800283e-07	25696.422	-0.014049074	-2845.6558	0.9189386	0.0081344545	0.107	79.0	17.830999851226807
1	-171714.78	294687.3	-1335.3936	-682128.1	1000.0	-9.485228	0.18621618	-7.660214	-9.660351	8000	-7.450581e-09	4557498400.0	-0.0048737954	-160447.72	0.90469533	0.016516525	0.20875	6.0	34.66000556945801
2	-1782.013	37.134125	-1733.4891	-1831.9651	1000.0	-18.268007	0.0058611766	-18.17545	-18.270828	12000	2.7380884e-07	22247.422	-0.016169395	-272.76855	0.9046379	0.010211116	0.16624999	79.0	51.84000062942505
3	-1682.0073	32.315487	-1629.5552	-1717.8376	1000.0	-19.220972	0.0060478845	-19.07627	-19.223541	16000	1.0430813e-07	19011.78	-0.015836436	-37.833984	0.89362305	0.008892234	0.16299999	79.0	69.74003386497498
4	-1576.992	217.12369	-1213.5665	-1768.4496	1000.0	-19.364796	0.006486214	-19.219425	-19.367413	20000	1.8626451e-08	19418.664	-0.011482909	-37.262207	0.8759379	0.015061094	0.198	24.0	89.22100019454956
5	18610.916	35195.68	79571.61	-1739.3131	1000.0	-19.518517	0.0055002137	-19.410606	-19.521034	24000	7.450581e-09	63565516.0	-0.013383601	-2040.6963	0.86786824	0.015275393	0.24599999	51.0	110.17500305175781
6	-2442.0996	1308.217	-1643.892	-4707.4736	1000.0	-18.392843	0.005265519	-18.299124	-18.395487	28000	-3.7252903e-09	158429.11	-0.0058123637	-55.404785	0.86143994	0.016571268	0.2605	8.0	131.54100680351257
7	-1830.4108	274.79837	-1661.5712	-2306.038	1000.0	-18.528719	0.005989257	-18.414385	-18.531464	32000	-3.3527613e-08	27850.121	-0.0075458977	-73.427246	0.86036277	0.016105548	0.27374998	14.0	153.26300024986267
8	-1697.2809	25.835812	-1668.5165	-1731.3102	1000.0	-18.785835	0.005553214	-18.711163	-18.788473	36000	-6.61239e-07	19418.94	-0.015808798	-67.313965	0.8580313	0.008112131	0.13475001	79.0	177.19100141525269
9	-1648.9054	28.507889	-1611.5461	-1683.4421	1000.0	-19.037535	0.0052170586	-18.928753	-19.040077	40000	1.7136335e-07	18223.938	-0.018880352	-67.49121	0.84568816	0.011977146	0.16550002	79.0	201.48500609397888
10	-1635.4067	18.418837	-1613.7417	-1656.7979	1000.0	-19.299013	0.005187484	-19.179348	-19.301567	44000	2.3841858e-07	17935.014	-0.019328032	-71.18701	0.82138157	0.010851733	0.16525	79.0	225.75400924682617
11	-325235.78	561311.6	-863.7625	-1297455.9	1000.0	-19.577093	0.004896221	-19.501528	-19.579603	48000	-7.450581e-09	13683603000.0	-0.00717319	-401108.0	0.8045652	0.01636653	0.26450002	9.0	249.85300159454346
12	-1523.2415	12.579766	-1511.0651	-1543.6207	1000.0	-34.88533	0.0020226683	-34.843918	-34.886097	52000	1.0244548e-08	11846.849	-0.016953293	-334.01367	0.8050012	0.0078016375	0.17074999	79.0	274.7000048160553
13	-1533.09	46.38692	-1484.7601	-1608.6754	1000.0	-36.492672	0.0015370375	-36.45637	-36.493336	56000	1.1175871e-07	11707.407	-0.01903726	-23.848633	0.79035	0.012574696	0.15825	79.0	298.97499918937683
14	-447146.56	771930.2	-1408.054	-1784168.9	1000.0	-36.608227	0.0017915103	-36.56154	-36.608932	60000	-3.7252903e-09	17186085000.0	-0.007715909	-210278.53	0.7746267	0.015195992	0.233	8.0	320.2710063457489
15	-333015.22	574185.9	-1457.4412	-1327534.4	1000.0	-46.42541	0.0020765255	-46.344322	-46.42593	64000	-1.4901161e-08	14326021000.0	-0.0053212754	-292242.8	0.774061	0.015615456	0.2265	9.0	339.75300002098083
16	-1405.8999	227.37338	-1015.754	-1567.4208	1000.0	-57.338207	0.0010522624	-57.302742	-57.338516	68000	0.0	7530.766	-0.0056061093	-177.4768	0.77438205	0.019668305	0.275	5.0	357.4470000267029
17	-153491.58	263079.28	-1274.3666	-609157.94	1000.0	-58.540035	0.0010498799	-58.518383	-58.540344	72000	2.2351742e-08	3592169700.0	-0.010289028	-88829.88	0.7744378	0.0153077915	0.20475	15.0	375.5930075645447
18	-282633.94	486971.47	-1427.5001	-1126093.2	1000.0	-64.12555	0.0007867081	-64.10505	-64.1258	76000	-1.4901161e-08	10304997000.0	-0.0077120923	-188258.9	0.7734082	0.015492562	0.2135	6.0	394.16700053215027
19	-1461.3782	48.184723	-1380.018	-1504.3013	1000.0	-72.317314	0.0007996823	-72.28597	-72.31752	80000	-4.0233135e-07	4795.047	-0.018488329	-126.37634	0.77281874	0.0134024955	0.17475	79.0	412.39000129699707
20	-1458.0979	21.624586	-1445.4375	-1495.5515	1000.0	-73.281494	0.0006313855	-73.253105	-73.28168	84000	2.2538006e-07	4593.956	-0.021333259	-6.3460693	0.7458723	0.013926793	0.17650001	79.0	431.2670006752014
