Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-3222.182	22.512884	-3201.8494	-3257.8972	-1952.8551	0.00012207031	-1952.855	-1952.855	1000.0	1000.0	3999	-11.135877	7.6541996	0.10459695	-45.381054	-11.137155	7.6421394	0.16592017	-44.87908	-0.39601138	2.0328789	10.542156	-13.519814	9.150367	3.1090639	61.11087346076965
2	-3215.2456	23.830732	-3186.3523	-3251.2642	-1792.6487	0.0	-1792.6487	-1792.6487	1000.0	1000.0	7999	-29.83455	9.255465	-7.6886253	-67.649605	-29.83434	9.251622	-7.8803334	-67.21449	-0.11676477	1.9769697	13.01058	-14.187913	27.942286	3.4286253	143.88531923294067
3	-2609.1494	606.0683	-1971.5404	-3224.2861	-1891.6705	0.00012207031	-1891.6707	-1891.6707	1000.0	1000.0	11999	-47.10846	9.306191	-25.183424	-84.93834	-47.108307	9.298668	-25.368372	-83.481445	0.01833823	1.9987185	10.9110155	-12.421083	45.327007	5.021722	236.96400094032288
4	-2077.7644	16.2571	-2051.5554	-2092.6533	-1907.1609	0.00012207031	-1907.161	-1907.161	1000.0	1000.0	15999	-69.84225	11.095314	-40.040092	-111.20181	-69.84184	11.085502	-38.36538	-112.80625	-0.6592659	1.6880339	12.005368	-13.885774	68.967316	6.1190653	331.16462993621826
5	-2018.6637	54.22948	-1959.4758	-2103.0093	-1774.7268	0.0	-1774.7268	-1774.7268	1000.0	1000.0	19999	-93.51636	10.932649	-61.33001	-136.07333	-93.51664	10.922104	-61.41383	-133.83702	-0.5128223	1.7221924	10.419196	-14.042759	92.90386	6.8400264	432.1020452976227
6	-1998.8798	26.75425	-1968.2394	-2035.3442	-1841.982	0.0	-1841.982	-1841.982	1000.0	1000.0	23999	-113.24894	10.815868	-81.20995	-151.72581	-113.24919	10.80033	-81.539444	-152.90207	-0.43109807	1.7240778	10.561001	-12.832684	112.80097	6.769132	582.6534795761108
7	-1987.7667	13.778416	-1975.6475	-2011.066	-1826.6888	0.0	-1826.6888	-1826.6888	1000.0	1000.0	27999	-130.01637	10.955011	-96.75378	-170.02174	-130.01662	10.935688	-96.49158	-171.71796	-0.35497028	1.7254008	10.600411	-15.101177	129.67465	6.964613	723.3484218120575
8	-1982.1385	33.401543	-1929.2308	-2021.5149	-1814.0635	0.0	-1814.0635	-1814.0635	1000.0	1000.0	31999	-144.00269	11.288318	-110.58267	-184.12396	-144.00302	11.268258	-110.831345	-182.67279	-0.34384868	1.7188189	9.3706875	-12.318785	143.75096	6.989998	853.7171878814697
9	-1957.176	18.468515	-1941.4725	-1987.8732	-1764.2614	0.00012207031	-1764.2612	-1764.2612	1000.0	1000.0	35999	-155.65453	11.724755	-120.949104	-194.97314	-155.65463	11.708218	-121.45953	-198.21982	-0.3266857	1.7196226	10.727875	-13.254678	155.46599	7.065631	965.8739204406738
10	-1957.7927	27.140232	-1928.7212	-2001.8633	-1769.8422	0.0	-1769.8422	-1769.8422	1000.0	1000.0	39999	-165.33406	12.230534	-131.12791	-204.06253	-165.3343	12.21775	-130.70537	-203.17465	-0.35299316	1.7043524	9.478182	-12.291067	165.2012	7.1695604	1067.270825624466
11	-1968.855	2.6646714	-1965.2002	-1971.629	-1783.71	0.0	-1783.71	-1783.71	1000.0	1000.0	43999	-173.5541	12.884895	-137.56168	-213.76314	-173.55405	12.875611	-137.93556	-214.43498	-0.39560464	1.6667718	12.252099	-13.828325	173.4734	7.182132	1163.9285249710083
12	-1952.3173	16.068874	-1936.1138	-1974.9105	-1780.7725	0.0	-1780.7725	-1780.7725	1000.0	1000.0	47999	-180.32816	13.570783	-144.03629	-220.43556	-180.3285	13.559255	-143.8753	-220.58435	-0.42994496	1.6422658	11.737564	-13.72547	180.28064	7.1933556	1262.9832010269165
13	-1934.5977	21.114496	-1904.5702	-1955.6991	-1769.2795	0.00012207031	-1769.2794	-1769.2794	1000.0	1000.0	51999	-185.511	14.263873	-148.0849	-226.2153	-185.5109	14.253863	-147.56001	-224.6769	-0.44515058	1.6408995	9.140142	-12.303276	185.47398	7.123459	1369.6170780658722
14	-1941.6228	8.849924	-1927.1855	-1949.0618	-1726.43	0.00012207031	-1726.4302	-1726.4302	1000.0	1000.0	55999	-189.63304	14.987737	-150.95413	-230.44403	-189.63313	14.977528	-149.67532	-231.38062	-0.4873211	1.6251384	8.364363	-12.653824	189.61998	7.0332603	1483.923101425171
15	-1928.2606	5.567557	-1918.7119	-1932.5493	-1731.3425	0.0	-1731.3425	-1731.3425	1000.0	1000.0	59999	-192.85278	15.696808	-152.32385	-232.17615	-192.85297	15.686194	-152.82678	-233.67177	-0.5167458	1.5957259	7.4971275	-12.254154	192.85716	6.8121552	1588.9519488811493
16	-1923.8109	7.5187607	-1914.5594	-1935.1881	-1739.8723	0.00012207031	-1739.8722	-1739.8722	1000.0	1000.0	63999	-195.47124	16.427532	-153.63922	-236.65215	-195.47105	16.415154	-154.40675	-237.82869	-0.5763289	1.5813392	9.461403	-13.664924	195.47328	6.6852393	1688.958922624588
